"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1","1/20/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","741_ANHU"
"2","3/22/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4653_ANHU"
"3","11/7/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4822_ANHU"
"4","3/18/2012","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4393_ANHU"
"5","2/1/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2150_ANHU"
"6","2/24/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","4617_ANHU"
"7","6/19/2013","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","5993_ALHU"
"8","4/28/2016","Released","Santa Barbara","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","6868_ANHU"
"9","4/14/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","434_ANHU"
"10","4/2/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","2194_ANHU"
"11","4/25/2009","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3706_ANHU"
"12","3/3/2016","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5513_ANHU"
"13","4/5/2002","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2199_ANHU"
"14","6/3/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2500_ANHU"
"15","3/2/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4624_ANHU"
"16","4/20/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4181_ANHU"
"17","2/25/2004","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",4,"Winter","found on the ground","Non-selasphorus spp.","2617_ANHU"
"18","9/20/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","2335_ANHU"
"19","4/7/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1371_ANHU"
"20","4/23/1993","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","448_ANHU"
"21","4/22/1992","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","259_ANHU"
"22","5/28/1992","Died","Lindsey","Yes","Selasphorus","unknown","Nestling",1,"Spring","caught by domestic animal","Selasphorus spp.","292_ALHU"
"23","8/20/2014","Released","malibu","No","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","6184_ANHU"
"24","11/10/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","suspect torpor-like state","Non-selasphorus spp.","553_ANHU"
"25","11/5/2013","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",4,"Fall","unknown","Selasphorus spp.","5907_ALHU"
"26","4/15/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","4433_ANHU"
"27","4/27/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3077_ANHU"
"28","6/2/2011","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","window hit","Non-selasphorus spp.","4234_ANHU"
"29","5/8/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6415_ALHU"
"30","4/7/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1370_ANHU"
"31","12/14/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Winter","found on the ground","Selasphorus spp.","6832_ALHU"
"32","3/16/2009","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3650_ANHU"
"33","2/10/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","nest-related","Non-selasphorus spp.","5171_ANHU"
"34","4/26/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1811_ANHU"
"35","4/9/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Spring","nest-related","Non-selasphorus spp.","2207_ANHU"
"36","3/23/1994","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","593_ANHU"
"37","6/18/1998","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","nest-related","Non-selasphorus spp.","1441_ANHU"
"38","8/11/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","4050_ANHU"
"39","8/30/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2118_ANHU"
"40","1/28/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3410_ANHU"
"41","4/28/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","1609_ANHU"
"42","5/25/1991","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","103_ANHU"
"43","4/20/2011","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",7,"Spring","found on the ground","Non-selasphorus spp.","4177_ANHU"
"44","2/24/2015","Died","Lindsey","No","ANHU","Male","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","5188_ANHU"
"45","7/29/2014","Died","malibu","Yes","Selasphorus","unknown","Nestling",1,"Summer","found on the ground","Selasphorus spp.","6175_ALHU"
"46","11/26/2010","Released","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","unknown","Non-selasphorus spp.","4076_ANHU"
"47","4/21/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","3066_ANHU"
"48","4/4/2013","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4671_ANHU"
"49","6/10/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6775_ALHU"
"50","6/26/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","suspect torpor-like state","Non-selasphorus spp.","2288_ANHU"
"51","3/6/2003","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","2402_ANHU"
"52","5/16/2005","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2880_ANHU"
"53","6/23/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","2731_ANHU"
"54","5/12/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","464_ANHU"
"55","4/1/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","233_ANHU"
"56","6/30/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4007_ANHU"
"57","3/25/2016","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6687_ALHU"
"58","5/28/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5953_ALHU"
"59","8/28/2009","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found inside","Non-selasphorus spp.","3815_ANHU"
"60","3/13/1996","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","978_ANHU"
"61","5/28/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","4223_ANHU"
"62","2/19/2013","Died","Lindsey","No","ANHU","Male","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","4609_ANHU"
"63","2/3/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","202_ANHU"
"64","6/4/2005","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2904_ANHU"
"65","3/31/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","caught by domestic animal","Selasphorus spp.","6200_ALHU"
"66","6/22/1997","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","1270_ANHU"
"67","2/17/2003","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","2386_ANHU"
"68","12/12/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","4585_ANHU"
"69","7/9/1997","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","1285_ANHU"
"70","11/6/2011","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","suspect torpor-like state","Non-selasphorus spp.","4320_ANHU"
"71","4/16/2011","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4172_ANHU"
"72","2/27/2016","Died","malibu","Yes","ANHU","Female-like ","adult-like",-25,"Winter","caught by domestic animal","Non-selasphorus spp.","6657_ANHU"
"73","2/17/2015","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","5181_ANHU"
"74","2/10/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","3415_ANHU"
"75","1/14/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","12_ANHU"
"76","4/24/1995","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","825_ANHU"
"77","4/22/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2668_ANHU"
"78","7/1/2016","Died","Santa Barbara","No","Selasphorus","Female-like ","adult-like",1,"Summer","caught by domestic animal","Selasphorus spp.","6899_RUHU"
"79","4/29/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","161_ANHU"
"80","7/17/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","4532_ANHU"
"81","2/13/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","19_ANHU"
"82","7/2/2015","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","6468_ALHU"
"83","6/8/2009","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","3751_ANHU"
"84","3/18/2016","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5534_ANHU"
"85","8/5/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","4289_ANHU"
"86","4/27/2011","Released","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found inside","Non-selasphorus spp.","4188_ANHU"
"87","5/26/2001","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","2050_ANHU"
"88","3/6/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2170_ANHU"
"89","2/25/2006","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","3008_ANHU"
"90","4/25/2014","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found inside","Selasphorus spp.","6106_ALHU"
"91","4/29/1999","Released","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","1615_ALHU"
"92","4/26/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","4706_ANHU"
"93","8/28/2000","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Summer","caught by domestic animal","Non-selasphorus spp.","1903_ANHU"
"94","2/28/1992","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","214_ANHU"
"95","10/24/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","1917_ANHU"
"96","3/3/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","5197_ANHU"
"97","11/21/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","window hit","Non-selasphorus spp.","4830_ANHU"
"98","5/7/1995","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","837_ANHU"
"99","6/10/1993","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","491_ANHU"
"100","6/9/2013","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","5841_ALHU"
"101","3/12/1995","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","unknown","Non-selasphorus spp.","774_ANHU"
"102","3/25/1996","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","993_ALHU"
"103","3/17/2014","Died","malibu","Yes","ANHU","Male","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","6063_ANHU"
"104","1/5/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5_ANHU"
"105","5/5/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",9,"Spring","unknown","Non-selasphorus spp.","1621_ANHU"
"106","6/29/1999","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","1683_ANHU"
"107","3/26/2011","Released","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","window hit","Non-selasphorus spp.","4139_ANHU"
"108","5/5/2015","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","5307_ANHU"
"109","10/11/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","2773_ANHU"
"110","2/12/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2606_ANHU"
"111","6/16/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","5981_ALHU"
"112","7/11/2013","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","4789_ANHU"
"113","1/15/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found inside","Non-selasphorus spp.","194_ANHU"
"114","6/27/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","nest-related","Non-selasphorus spp.","2080_ANHU"
"115","6/27/2010","Died","Lindsey","Yes","Selasphorus","unknown","Nestling",0,"Summer","nest-related","Selasphorus spp.","4003_ALHU"
"116","7/21/1994","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","713_ANHU"
"117","4/25/2013","Died","malibu","No","ANHU","Female-like ","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","5787_ANHU"
"118","7/18/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3143_ANHU"
"119","3/11/2001","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1982_ANHU"
"120","6/24/1991","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","133_ANHU"
"121","3/23/1996","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","989_ANHU"
"122","3/16/2003","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","2415_ANHU"
"123","3/29/1999","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found inside","Non-selasphorus spp.","1570_ANHU"
"124","9/28/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Fall","unknown","Non-selasphorus spp.","1506_ANHU"
"125","4/1/2000","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found inside","Selasphorus spp.","1779_ALHU"
"126","3/13/2016","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","5527_ANHU"
"127","7/5/2001","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found inside","Non-selasphorus spp.","2086_ANHU"
"128","2/9/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Winter","unknown","Selasphorus spp.","6354_ALHU"
"129","2/15/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","2381_ANHU"
"130","12/29/2001","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2142_ANHU"
"131","8/31/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3368_ANHU"
"132","5/8/2007","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","nest-related","Non-selasphorus spp.","3282_ANHU"
"133","7/24/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","5688_ANHU"
"134","7/17/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","1891_ANHU"
"135","7/1/2005","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Summer","nest-related","Non-selasphorus spp.","2942_ANHU"
"136","3/20/2002","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","2180_ANHU"
"137","2/25/2015","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",-1,"Winter","unknown","Selasphorus spp.","6499_ALHU"
"138","6/26/1993","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Summer","found on the ground","Non-selasphorus spp.","507_ANHU"
"139","3/21/2011","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",4,"Spring","found on the ground","Non-selasphorus spp.","4135_ANHU"
"140","1/3/2011","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","4088_ANHU"
"141","5/20/2015","Released","malibu","No","BCHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6607_BCHU"
"142","4/15/2010","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","window hit","Non-selasphorus spp.","3916_ANHU"
"143","4/26/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4971_ANHU"
"144","4/7/2014","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4942_ANHU"
"145","7/10/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","3344_ANHU"
"146","8/4/2014","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","5098_ALHU"
"147","4/28/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3272_ANHU"
"148","1/20/2015","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5153_ANHU"
"149","7/15/2011","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4276_ANHU"
"150","3/15/2012","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4388_ANHU"
"151","4/16/2004","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2660_ANHU"
"152","8/30/2002","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","window hit","Non-selasphorus spp.","2330_ANHU"
"153","7/16/1996","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","suspect torpor-like state","Non-selasphorus spp.","1103_ANHU"
"154","3/5/2008","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3425_ANHU"
"155","6/6/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1436_ANHU"
"156","4/14/2013","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","5776_ALHU"
"157","6/17/2015","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","5388_ANHU"
"158","6/4/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",2,"Summer","unknown","Selasphorus spp.","6769_ALHU"
"159","6/24/2005","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2933_ANHU"
"160","5/21/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","found on the ground","Non-selasphorus spp.","1422_ANHU"
"161","5/9/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","4464_ANHU"
"162","5/3/2007","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3276_ANHU"
"163","8/12/2011","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","4293_ANHU"
"164","6/10/2013","Died","malibu","No","Selasphorus","unknown","Nestling",0,"Summer","nest-related","Selasphorus spp.","5849_ALHU"
"165","4/23/2009","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3704_ANHU"
"166","11/23/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","caught by domestic animal","Non-selasphorus spp.","365_ANHU"
"167","3/3/2016","Died","malibu","Yes","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6634_ANHU"
"168","7/11/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","caught by domestic animal","Non-selasphorus spp.","2094_ANHU"
"169","6/14/2014","Released","malibu","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","6297_ANHU"
"170","5/16/1997","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","unknown","Non-selasphorus spp.","1237_ANHU"
"171","6/1/1996","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","nest-related","Non-selasphorus spp.","1063_ANHU"
"172","2/16/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","20_ANHU"
"173","4/8/2016","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Spring","found on the ground","Non-selasphorus spp.","5571_ANHU"
"174","5/4/2014","Released","Lindsey","No","ANHU","Male","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4985_ANHU"
"175","7/15/1997","Died","Lindsey","No","ANHU","Female-like ","adult-like",3,"Summer","window hit","Non-selasphorus spp.","1289_ANHU"
"176","4/12/2014","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","4951_ANHU"
"177","4/29/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1614_ANHU"
"178","5/14/2016","Died","malibu","No","Selasphorus","Female-like ","adult-like",2,"Spring","unknown","Selasphorus spp.","6709_ALHU"
"179","6/12/2013","Died","malibu","No","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","5848_ANHU"
"180","5/17/2004","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","2693_ANHU"
"181","3/25/2000","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","window hit","Selasphorus spp.","1772_RUHU"
"182","4/2/2001","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","2006_ANHU"
"183","2/3/2004","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","2598_ANHU"
"184","3/27/2010","Died","Lindsey","Yes","ANHU","Male","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","3894_ANHU"
"185","3/9/1996","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","975_ANHU"
"186","3/31/2014","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","caught by domestic animal","Selasphorus spp.","6076_ALHU"
"187","6/30/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","2295_ANHU"
"188","8/6/2016","Died","Santa Barbara","No","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","6914_ANHU"
"189","7/22/2003","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2550_ANHU"
"190","6/20/2000","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","1861_BCHU"
"191","11/16/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","3384_ANHU"
"192","8/2/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","suspect torpor-like state","Non-selasphorus spp.","352_ANHU"
"193","4/2/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",2,"Spring","nest-related","Non-selasphorus spp.","2007_ANHU"
"194","3/11/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1761_ANHU"
"195","1/30/2013","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Winter","unknown","Non-selasphorus spp.","5733_ANHU"
