"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"3986","3/24/2014","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4917_ANHU"
"3987","7/15/2006","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","3142_ANHU"
"3988","4/4/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","2841_ANHU"
"3989","8/27/1991","Died","Lindsey","No","BCHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","174_BCHU"
"3990","4/25/2014","Died","malibu","No","Selasphorus","unknown","Nestling",0,"Spring","unknown","Selasphorus spp.","6206_ALHU"
"3991","5/28/1993","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","478_ALHU"
"3992","5/25/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1424_ANHU"
"3993","6/9/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4751_ANHU"
"3994","3/31/2016","Died","Santa Barbara","No","Selasphorus","Female-like ","adult-like",0,"Spring","window hit","Selasphorus spp.","6857_RUHU"
"3995","4/30/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","1616_ANHU"
"3996","8/6/1995","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","908_ANHU"
"3997","4/9/1993","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","428_ANHU"
"3998","6/23/2013","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4775_ANHU"
"3999","11/5/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4319_ANHU"
"4000","8/29/1999","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Summer","found inside","Selasphorus spp.","1707_ALHU"
"4001","4/30/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1405_ANHU"
"4002","6/23/2005","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","2930_ANHU"
"4003","6/22/2001","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","2077_ANHU"
